github.name,github.score,github.size,github.forks,github.open_issues,github.watchers,github.stars
beark/ftl,1,2509,67,5,934,934
miguelmartin75/anax,1,6916,42,29,409,409
leetcoders/LeetCode,1,1735,222,2,481,481
xtaci/algorithms,1,2263,1122,38,3030,3030
xtaci/algorithms,1,2263,1122,38,3030,3030
electron/electron,1,59998,9659,1317,74043,74043
mapbox/mapnik-vector-tile,1,6018,92,13,493,493
wesnoth/wesnoth,1,2730644,531,941,2460,2460
AncientLysine/BiliLocal,1,5592,80,7,406,406
facebook/mysql-5.6,1,2177326,524,177,1594,1594
gflags/gflags,1,1556,497,22,1435,1435
gflags/gflags,1,1556,497,22,1435,1435
ppwwyyxx/OpenPano,1,8999,381,7,930,930
zerotier/ZeroTierOne,1,69418,389,122,3401,3401
atom/node-keytar,1,454,80,21,633,633
andrewprock/pokerstove,1,4899,284,16,474,474
PowerDNS/pdns,1,50369,512,678,1735,1735
StevenHickson/PiAUISuite,1,4454,220,72,676,676
kmackay/micro-ecc,1,646,204,42,621,621
MrKepzie/Natron,1,125177,171,8,1378,1378
p12tic/libsimdpp,1,4596,92,34,733,733
ivanseidel/ArduinoThread,1,68,145,10,593,593
JulyIghor/QtBitcoinTrader,1,6754,229,43,447,447
gobby/gobby,1,3413,41,57,439,439
ponchio/untrunc,1,164,115,105,492,492
mixxxdj/mixxx,1,310916,585,104,1324,1324
niwinz/phantompy,1,692,31,6,622,622
doxygen/doxygen,1,25650,696,2062,2493,2493
moderngpu/moderngpu,1,6890,219,14,985,985
qtproject/qt-solutions,1,1645,441,1,521,521
bingmann/sound-of-sorting,1,299,74,9,428,428
efficient/cuckoofilter,1,111,87,14,605,605
Nevcairiel/LAVFilters,1,25843,294,23,1839,1839
REhints/HexRaysCodeXplorer,1,7577,258,2,1233,1233
REhints/HexRaysCodeXplorer,1,7577,258,2,1233,1233
OtterBrowser/otter-browser,1,64968,175,183,1052,1052
aardappel/treesheets,1,3514,77,60,652,652
boostorg/beast,1,11418,345,145,2059,2059
LowPowerLab/RFM69,1,4607,307,13,530,530
yanyiwu/cppjieba,1,9546,481,36,1444,1444
yanyiwu/cppjieba,1,9546,481,36,1444,1444
USCiLab/cereal,1,13946,383,193,1948,1948
pmed/v8pp,1,728,59,10,493,493
ValveSoftware/source-sdk-2013,1,624641,1333,213,2310,2310
cvxgrp/cvxpy,1,133638,497,49,1861,1861
facebook/fbthrift,1,41324,414,26,1699,1699
node-webrtc/node-webrtc,1,7327,245,46,1278,1278
node-webrtc/node-webrtc,1,7327,245,46,1278,1278
vapoursynth/vapoursynth,1,5302,56,26,465,465
nlohmann/json,1,177905,2396,31,14148,14148
wheybags/freeablo,1,23807,178,56,1854,1854
cmderdev/cmder,1,2314,1318,24,18484,18484
cmderdev/cmder,1,2314,1318,24,18484,18484
nmslib/nmslib,1,98952,236,77,1471,1471
nghttp2/nghttp2,1,31415,549,381,2932,2932
leanprover/lean,1,52403,161,55,1161,1161
apache/mesos,1,393662,1600,10,4185,4185
rathena/rathena,1,163746,1013,335,1076,1076
zbackup/zbackup,1,578,71,53,728,728
dresden-elektronik/deconz-rest-plugin,1,7563,107,339,504,504
nodejs/nan,1,1996,390,44,2517,2517
nodejs/nan,1,1996,390,44,2517,2517
klee/klee,1,6374,359,99,1171,1171
klee/klee,1,6374,359,99,1171,1171
dolphin-emu/dolphin,1,380353,1255,139,5328,5328
breach/thrust,1,3461,130,51,2815,2815
breach/thrust,1,3461,130,51,2815,2815
cuberite/cuberite,1,83639,478,563,2660,2660
hyperion-project/hyperion,1,7007,226,60,1027,1027
hyperion-project/hyperion,1,7007,226,60,1027,1027
gigablast/open-source-search-engine,1,225027,329,62,1019,1019
uglide/RedisDesktopManager,1,75063,2031,37,12633,12633
netease-youdao/hex,1,110358,306,116,1458,1458
laurentkneip/opengv,1,7814,229,30,498,498
clMathLibraries/clBLAS,1,2915,212,86,686,686
clMathLibraries/clFFT,1,2912,165,26,451,451
rbock/sqlpp11,1,2962,201,42,1305,1305
rbock/sqlpp11,1,2962,201,42,1305,1305
simbody/simbody,1,221845,353,124,1355,1355
dbzhang800/QtXlsxWriter,1,3126,334,112,445,445
CopernicaMarketingSoftware/PHP-CPP,1,1977,259,85,1136,1136
CopernicaMarketingSoftware/PHP-CPP,1,1977,259,85,1136,1136
Icinga/icinga2,1,41325,422,215,1184,1184
forhappy/Cplusplus-Concurrency-In-Practice,1,1398,922,13,2325,2325
forhappy/Cplusplus-Concurrency-In-Practice,1,1398,922,13,2325,2325
PurpleI2P/i2pd,1,10718,221,128,1202,1202
jesyspa/linear-cpp,1,116,92,3,437,437
mikalhart/TinyGPSPlus,1,74,198,19,426,426
ReactiveX/RxCpp,1,62792,233,42,1731,1731
ideawu/icomet,1,3518,511,35,1430,1430
ideawu/icomet,1,3518,511,35,1430,1430
Kurento/kurento-media-server,1,4358,372,5,1224,1224
Kurento/kurento-media-server,1,4358,372,5,1224,1224
dropbox/json11,1,85,432,20,1811,1811
dropbox/json11,1,85,432,20,1811,1811
eliben/llvm-clang-samples,1,299,154,7,958,958
naelstrof/slop,1,938,30,24,472,472
